,LR,Lasso,Ridge,Elastic,SVR,KNN,lgbm,xgbm,edt,mlp,qraft,noise
groundstate,0.5,0.51,0.5,0.51,0.51,0.52,0.47,0.47,0.47,0.45,0.6,0.55
pricingcall,0.68,0.65,0.68,0.66,0.65,0.68,0.67,0.66,0.62,0.6,0.62,0.72
pricingput,0.68,0.65,0.68,0.66,0.68,0.66,0.69,0.68,0.59,0.59,0.63,0.72
qaoa,0.58,0.6,0.58,0.59,0.58,0.64,0.59,0.63,0.59,0.57,0.48,0.64
routing,0.11,0.12,0.11,0.12,0.36,0.14,0.24,0.23,0.25,0.1,0.72,0.28
tsp,0.38,0.39,0.38,0.39,0.46,0.43,0.37,0.38,0.36,0.36,0.66,0.43
