,LR,Lasso,Ridge,Elastic,SVR,KNN,lgbm,xgbm,edt,mlp,qraft,noise
ibm_lagos,0.48,0.48,0.48,0.49,0.54,0.51,0.49,0.5,0.47,0.44,0.6,0.54
ibm_nairobi,0.51,0.49,0.51,0.5,0.54,0.53,0.49,0.52,0.5,0.46,0.61,0.56
ibm_perth,0.5,0.49,0.5,0.5,0.54,0.49,0.49,0.51,0.48,0.47,0.64,0.56
ibmq_belem,0.68,0.68,0.68,0.68,0.61,0.65,0.7,0.67,0.64,0.65,0.61,0.69
ibmq_jakarta,0.44,0.43,0.44,0.44,0.52,0.49,0.44,0.44,0.43,0.38,0.61,0.52
ibmq_lima,0.48,0.48,0.48,0.48,0.53,0.48,0.5,0.5,0.47,0.44,0.63,0.55
ibmq_manila,0.4,0.4,0.4,0.4,0.52,0.5,0.48,0.48,0.41,0.35,0.63,0.5
ibmq_quito,0.41,0.42,0.41,0.42,0.52,0.43,0.45,0.44,0.42,0.36,0.62,0.52
